fecha_consultada,fecha_sbs,Promedio,Crédito,Interbank,BBVA,Scotiabank
10/12/2024,10/12/2024,8.22,8.67,8.0,7.66,8.14
11/12/2024,11/12/2024,8.22,8.67,7.99,7.65,8.15
12/12/2024,12/12/2024,8.23,8.69,7.98,7.64,8.17
13/12/2024,13/12/2024,8.22,8.68,7.97,7.64,8.17
16/12/2024,16/12/2024,8.22,8.69,7.97,7.62,8.16
17/12/2024,17/12/2024,8.22,8.71,7.94,7.58,8.18
18/12/2024,18/12/2024,8.21,8.71,7.93,7.59,8.17
19/12/2024,19/12/2024,8.21,8.71,7.93,7.59,8.17
20/12/2024,20/12/2024,8.22,8.7,7.93,7.59,8.16
23/12/2024,23/12/2024,8.23,8.71,7.93,7.61,8.14
24/12/2024,24/12/2024,8.21,8.72,7.91,7.61,8.13
26/12/2024,26/12/2024,8.21,8.73,7.91,7.6,8.13
27/12/2024,27/12/2024,8.2,8.73,7.9,7.61,8.13
30/12/2024,30/12/2024,8.21,8.74,7.89,7.62,8.14
02/01/2025,02/01/2025,8.21,8.77,7.86,7.62,8.14
03/01/2025,03/01/2025,8.2,8.77,7.85,7.62,8.14
06/01/2025,06/01/2025,8.19,8.77,7.84,7.6,8.14
07/01/2025,07/01/2025,8.19,8.77,7.84,7.6,8.15
08/01/2025,08/01/2025,8.19,8.77,7.83,7.6,8.14
09/01/2025,09/01/2025,8.19,8.76,7.83,7.6,8.13
10/01/2025,10/01/2025,8.19,8.77,7.83,7.6,8.12
13/01/2025,13/01/2025,8.19,8.78,7.82,7.59,8.13
14/01/2025,14/01/2025,8.19,8.77,7.82,7.59,8.15
15/01/2025,15/01/2025,8.19,8.76,7.82,7.58,8.17
16/01/2025,16/01/2025,8.2,8.73,7.82,7.57,8.18
17/01/2025,17/01/2025,8.2,8.74,7.83,7.58,8.19
20/01/2025,20/01/2025,8.2,8.73,7.84,7.57,8.19
21/01/2025,21/01/2025,8.19,,7.84,7.58,8.17
